Model,hyperparameter,Conf1,Conf2,Conf3,Conf4
AdaBoost,n_estimators,50,200,200,200
AdaBoost,learning_rate,1.0,0.1,1.0,1.0
BaggedDT,n_estimators,200,200,100,50
BaggedDT,base_estimator__max_depth,10,10,10,10
BayesianNN,n_iter,100,100,100,100
BayesianNN,lambda_2,0.0001,0.0001,0.0001,0.0001
BayesianNN,lambda_1,1e-06,1e-06,1e-06,1e-06
BayesianNN,alpha_2,1e-06,1e-06,1e-06,1e-06
BayesianNN,alpha_1,0.0001,0.0001,0.0001,0.0001
CatBoost,learning_rate,0.03,0.1,0.1,0.1
CatBoost,l2_leaf_reg,1,0.5,0.5,0.2
CatBoost,iterations,250,250,250,200
CatBoost,depth,4,2,2,4
GBDT,subsample,1,1,0.5,0.5
GBDT,n_estimators,2000,1000,2000,2000
GBDT,max_leaf_nodes,5,5,20,20
GBDT,max_depth,2,4,2,2
GBDT,learning_rate,0.01,0.01,0.1,0.1
KNN,n_neighbors,9,9,12,4
LightGBM,n_estimators,100,50,100,100
LightGBM,max_depth,10,5,4,5
LightGBM,learning_rate,0.05,0.1,0.05,0.05
MLP,max_iter,50,10,50,50
MLP,learning_rate_init,0.01,0.01,0.1,0.1
MLP,hidden_layer_sizes,[8],[8],[64],[64]
RF,n_estimators,600,400,200,600
RF,min_samples_split,10,14,10,10
RF,min_samples_leaf,5,4,5,4
RF,max_features,6,6,6,6
RF,max_depth,100,120,150,120
SVR,gamma,1e-05,1e-05,1e-05,1e-05
SVR,C,100,100,1000,100
StackEns,final_estimator__alpha,0.1,10.0,0.1,0.1
XGBoost,n_estimators,600,600,600,800
XGBoost,max_depth,5,4,4,4
XGBoost,learning_rate,0.015,0.02,0.01,0.015
