config,model,R2,MAPE,RMSE,%RMSE
Conf1,AdaBoost,0.25 ± 0.11,1.59 ± 0.64,1.03 ± 0.07,61.18 ± 5.13
Conf1,BaggedDT,0.24 ± 0.08,1.68 ± 0.75,1.04 ± 0.09,61.65 ± 6.37
Conf1,BayesianNN,-0.01 ± 0.09,2.33 ± 1.22,1.20 ± 0.10,71.30 ± 6.76
Conf1,CatBoost,0.29 ± 0.07,1.68 ± 0.77,1.00 ± 0.07,59.51 ± 5.05
Conf1,GBDT,0.24 ± 0.09,1.69 ± 0.70,1.04 ± 0.07,61.66 ± 4.78
Conf1,KNN,-0.02 ± 0.08,2.20 ± 1.26,1.20 ± 0.10,71.54 ± 6.91
Conf1,LightGBM,0.22 ± 0.11,1.64 ± 0.72,1.05 ± 0.06,62.29 ± 4.67
Conf1,MLP,-0.04 ± 0.04,2.36 ± 1.08,1.22 ± 0.10,72.35 ± 7.31
Conf1,RF,0.29 ± 0.04,1.59 ± 0.67,1.00 ± 0.07,59.60 ± 5.36
Conf1,SVR,-0.01 ± 0.09,1.99 ± 1.29,1.20 ± 0.09,71.16 ± 6.43
Conf1,StackEns,0.25 ± 0.06,1.74 ± 0.75,1.03 ± 0.09,61.40 ± 6.42
Conf1,XGBoost,0.23 ± 0.07,1.65 ± 0.75,1.04 ± 0.08,61.96 ± 5.67
Conf1,▸ Average,0.16 ± 0.08,1.84 ± 0.88,1.09 ± 0.08,64.63 ± 5.90
Conf1,▸ Ensemble,0.29 ± 0.07,1.61 ± 0.69,1.00 ± 0.06,59.80 ± 4.74
Conf2,AdaBoost,0.24 ± 0.07,1.59 ± 0.68,1.03 ± 0.08,61.53 ± 5.71
Conf2,BaggedDT,0.26 ± 0.06,1.69 ± 0.76,1.03 ± 0.07,61.08 ± 5.40
Conf2,BayesianNN,0.04 ± 0.10,2.11 ± 1.08,1.16 ± 0.08,69.27 ± 5.29
Conf2,CatBoost,0.30 ± 0.05,1.77 ± 0.86,1.00 ± 0.07,59.31 ± 5.23
Conf2,GBDT,0.17 ± 0.14,1.81 ± 0.90,1.08 ± 0.08,64.31 ± 5.57
Conf2,KNN,0.05 ± 0.11,2.08 ± 1.20,1.16 ± 0.07,68.92 ± 4.45
Conf2,LightGBM,0.27 ± 0.07,1.65 ± 0.71,1.01 ± 0.06,60.40 ± 4.83
Conf2,MLP,-0.39 ± 0.45,1.89 ± 0.96,1.39 ± 0.22,82.69 ± 13.88
Conf2,RF,0.29 ± 0.04,1.62 ± 0.70,1.00 ± 0.07,59.70 ± 5.07
Conf2,SVR,0.01 ± 0.11,1.89 ± 1.07,1.18 ± 0.07,70.26 ± 4.90
Conf2,StackEns,0.26 ± 0.05,1.74 ± 0.78,1.02 ± 0.08,60.87 ± 6.13
Conf2,XGBoost,0.25 ± 0.10,1.74 ± 0.84,1.03 ± 0.08,61.36 ± 5.81
Conf2,▸ Average,0.15 ± 0.11,1.80 ± 0.88,1.09 ± 0.08,64.97 ± 6.02
Conf2,▸ Ensemble,0.29 ± 0.05,1.65 ± 0.73,1.00 ± 0.07,59.60 ± 5.21
Conf3,AdaBoost,0.41 ± 0.17,1.24 ± 0.43,0.90 ± 0.12,53.72 ± 6.91
Conf3,BaggedDT,0.38 ± 0.19,1.12 ± 0.33,0.93 ± 0.12,55.33 ± 6.86
Conf3,BayesianNN,0.35 ± 0.20,1.15 ± 0.40,0.95 ± 0.11,56.42 ± 6.05
Conf3,CatBoost,0.42 ± 0.12,1.19 ± 0.44,0.90 ± 0.09,53.53 ± 5.05
Conf3,GBDT,0.41 ± 0.15,1.14 ± 0.39,0.91 ± 0.08,53.79 ± 4.12
