chm_mean,chm_median,chm_stdev,chm_max,NDVI_max,NDVI_mean,NDVI_median,NDVI_stdDev,NDII_max,NDII_mean,NDII_median,NDII_stdDev,GNDVI_max,GNDVI_mean,GNDVI_median,GNDVI_stdDev,EVI_max,EVI_mean,EVI_median,EVI_stdDev,elevation_mean,elevation_median,elevation_stdev,elevation_max,slope_percentage_mean,slope_percentage_median,slope_percentage_stdev,slope_percentage_max,aspect_degree_mean,aspect_degree_median,aspect_degree_stdev,aspect_degree_max,pr_avg_JJA_median,pr_avg_MAM_median,tas_avg_JJA_median,tas_max_JJA_median,tas_min_JJA_median,tas_avg_MAM_median,tas_max_MAM_median,tas_min_MAM_median,model,config,target
,,,,1.42,1.63,2.64,5.18,3.77,4.0,4.32,2.23,3.19,2.83,2.62,1.37,1.43,2.45,4.3,1.37,8.45,5.73,2.97,9.65,3.38,2.3,4.46,3.86,5.13,3.61,1.95,3.75,,,,,,,,,CatBoost,Conf1,CS
,,,,2.6,1.97,1.35,3.52,3.64,4.73,2.3,2.42,1.72,2.75,2.12,2.07,1.37,3.0,2.42,1.69,3.37,5.3,2.81,6.32,2.23,3.48,3.28,1.77,5.19,4.05,2.21,3.35,1.97,1.44,2.37,6.06,1.32,0.78,1.84,1.21,CatBoost,Conf2,CS
44.8,28.36,1.34,10.67,0.18,0.49,0.0,0.13,0.16,0.1,0.16,0.17,0.48,0.07,0.81,0.0,0.11,0.11,1.2,0.01,2.31,2.26,0.21,0.65,0.52,0.71,0.83,0.4,0.14,0.76,0.96,0.89,,,,,,,,,CatBoost,Conf3,CS
45.21,32.26,1.06,6.95,0.0,0.27,0.25,0.07,0.14,0.14,0.17,0.2,0.1,0.11,0.65,0.12,0.19,0.65,0.86,0.03,0.24,1.53,0.28,1.03,0.53,0.4,0.34,0.67,0.11,0.41,0.47,0.27,0.17,0.34,0.55,1.33,0.48,0.39,0.57,0.44,CatBoost,Conf4,CS
,,,,0.01,0.01,0.01,0.05,0.04,0.04,0.02,0.02,0.03,0.04,0.04,0.02,0.02,0.02,0.03,0.02,0.08,0.08,0.04,0.06,0.02,0.02,0.04,0.04,0.08,0.05,0.03,0.04,,,,,,,,,GBDT,Conf1,CS
,,,,0.01,0.01,0.01,0.05,0.03,0.04,0.02,0.03,0.02,0.04,0.02,0.01,0.02,0.02,0.03,0.02,0.03,0.05,0.03,0.04,0.02,0.02,0.03,0.03,0.09,0.03,0.03,0.03,0.03,0.02,0.0,0.07,0.01,0.0,0.04,0.01,GBDT,Conf2,CS
0.6,0.17,0.03,0.02,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.01,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,,,,,,,,,GBDT,Conf3,CS
0.47,0.29,0.02,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,GBDT,Conf4,CS
,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,0.01,0.01,0.0,0.0,0.0,0.0,0.0,-0.01,,,,,,,,,KNN,Conf1,CS
,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,-0.0,-0.0,0.0,0.0,0.0,0.01,-0.0,-0.02,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,KNN,Conf2,CS
